Ville,Type_Bien,Transaction,Surface,Prix_Loyer,Date,Titre
Casablanca,Appartement,A Louer,60.0,0.0,06/05/2026,Appartement meublé  60 m² Casablanca
Casablanca,Appartement,A Louer,62.0,0.0,05/05/2026,Appartement meublé  62 m² Casablanca
Casablanca,Appartement,A Louer,60.0,0.0,05/05/2026,Appartement meublé  60 m² Casablanca  « Maarif »
Casablanca,Appartement,A Louer,50.0,7500.0,05/05/2026,Appartement meublé 2 pièces 50 m² Casablanca  « Oasis »
Casablanca,Appartement,A Louer,58.0,2300.0,05/05/2026,Appartement  3 pièces 58 m² Casablanca  « Hay Hassani »
Casablanca,Appartement,A Louer,110.0,6000.0,04/05/2026,Appartement  4 pièces 110 m² Casablanca  « Maarif »
Casablanca,Appartement,A Louer,63.0,0.0,04/05/2026,Appartement meublé  63 m² Casablanca
Casablanca,Appartement,A Louer,56.0,2500.0,04/05/2026,Appartement  3 pièces 56 m² Casablanca
Casablanca,Appartement,A Louer,60.0,6500.0,03/05/2026,Appartement meublé 3 pièces 60 m² Casablanca
Casablanca,Appartement,A Louer,60.0,0.0,03/05/2026,Appartement meublé  60 m² Casablanca
Casablanca,Appartement,A Louer,72.0,0.0,01/05/2026,Appartement meublé  72 m² Casablanca
Casablanca,Appartement,A Louer,45.0,600.0,27/04/2026,Appartement  2 pièces 45 m² Casablanca  « Maarif »
Casablanca,Appartement,A Louer,70.0,0.0,27/04/2026,Appartement meublé  70 m² Casablanca  « Maarif »
Casablanca,Appartement,A Louer,70.0,0.0,27/04/2026,Appartement meublé 2 pièces 70 m² Casablanca  « Maarif »
Casablanca,Appartement,A Louer,45.0,600.0,26/04/2026,Appartement meublé  45 m² Casablanca  « Maarif »
Casablanca,Appartement,A Louer,6000.0,9000.0,24/04/2026,Appartement  3 pièces 6000 m² Casablanca  « Derb Ghallef »
Casablanca,Appartement,A Louer,49.0,6000.0,24/04/2026,Appartement  2 pièces 49 m² Casablanca  « Riviera »
Casablanca,Appartement,A Louer,98.0,6500.0,24/04/2026,Appartement meublé 3 pièces 98 m² Casablanca
Casablanca,Appartement,A Louer,80.0,7500.0,24/04/2026,Appartement  3 pièces 80 m² Casablanca  « Maârif Extension »
Casablanca,Appartement,A Louer,170.0,15900.0,24/04/2026,Appartement  6 pièces 170 m² Casablanca  « Racine »
Casablanca,Appartement,A Louer,180.0,13000.0,22/04/2026,Appartement  5 pièces 180 m² Casablanca  « Gauthier »
Casablanca,Appartement,A Louer,56.0,6550.0,21/04/2026,Appartement meublé 2 pièces 56 m² Casablanca  « Derb Omar »
Casablanca,Appartement,A Louer,100.0,10000.0,20/04/2026,Appartement meublé 3 pièces 100 m² Casablanca  « Les Princesses »
Casablanca,Appartement,A Louer,130.0,11000.0,19/04/2026,Appartement meublé 4 pièces 130 m² Casablanca
Casablanca,Appartement,A Louer,91.0,12000.0,19/04/2026,Appartement meublé 3 pièces 91 m² Casablanca  « Racine »
Casablanca,Appartement,A Louer,154.0,14002.0,18/04/2026,Appartement  5 pièces 154 m² Casablanca  « Val Fleuri »
Casablanca,Appartement,A Louer,40.0,600.0,18/04/2026,Appartement meublé 2 pièces 40 m² Casablanca
Casablanca,Appartement,A Louer,131.0,6500.0,18/04/2026,Appartement meublé 5 pièces 131 m² Casablanca  « Aïn Borja »
Casablanca,Appartement,A Louer,160.0,9000.0,17/04/2026,Appartement  4 pièces 160 m² Casablanca
Casablanca,Appartement,A Louer,50.0,5300.0,17/04/2026,Appartement  2 pièces 50 m² Casablanca  « Abdelmoumen »
Casablanca,Appartement,A Louer,70.0,3700.0,17/04/2026,Appartement  4 pièces 70 m² Casablanca  « Sidi Maarouf »
Casablanca,Appartement,A Louer,70.0,600.0,16/04/2026,Appartement  2 pièces 70 m² Casablanca
Casablanca,Appartement,A Louer,64.0,8500.0,16/04/2026,Appartement  2 pièces 64 m² Casablanca  « Les Princesses »
Casablanca,Appartement,A Louer,84.0,8000.0,16/04/2026,Appartement  3 pièces 84 m² Casablanca  « Beauséjour »
Casablanca,Appartement,A Louer,97.0,9000.0,16/04/2026,Appartement  3 pièces 97 m² Casablanca  « Bourgogne »
