Ville,Type_Bien,Transaction,Surface,Prix_Annonce,Date,Titre
Casablanca,Villa,A Vendre,600.0,0.0,27/04/2026,Villa meublé 8 pièces 600 m² Casablanca
Casablanca,Villa,A Vendre,245.0,2100000.0,21/04/2026,Villa   245 m² Casablanca  « Route D'el Jadida »
Casablanca,Villa,A Vendre,278.0,11500000.0,14/04/2026,Villa  7 pièces 278 m² Casablanca  « Franceville »
Casablanca,Villa,A Vendre,132.0,3600000.0,07/04/2026,Villa meublé 9 pièces 132 m² Casablanca  « Sidi Bernoussi »
Casablanca,Villa,A Vendre,1200.0,10800000.0,13/03/2026,Villa   1200 m² Casablanca  « Polo »
Rabat,Villa,A Vendre,222.0,7900000.0,30/04/2026,Villa  8 pièces 222 m² Rabat  « Agdal »
Rabat,Villa,A Vendre,250.0,4500000.0,24/02/2026,Villa  6 pièces 250 m² Rabat  « Guich Oudaya »
Rabat,Villa,A Vendre,1000.0,26000000.0,23/02/2026,Villa  8 pièces 1000 m² Rabat  « Souissi »
Rabat,Villa,A Vendre,1100.0,16500000.0,19/02/2026,Villa   1100 m² Rabat
Rabat,Villa,A Vendre,150.0,35000000.0,11/02/2026,Villa  7 pièces 150 m² Rabat  « Autre Secteur »
Marrakech,Villa,A Vendre,570.0,9000000.0,05/05/2026,Villa meublé 12 pièces 570 m² Marrakech  « Hay Targa »
Marrakech,Villa,A Vendre,316.0,3350000.0,04/05/2026,Villa  8 pièces 316 m² Marrakech  « Targa »
Marrakech,Villa,A Vendre,700.0,18445000.0,23/04/2026,Villa  6 pièces 700 m² Marrakech
Marrakech,Villa,A Vendre,360.0,3200000.0,22/04/2026,Villa meublé 4 pièces 360 m² Marrakech
Marrakech,Villa,A Vendre,500.0,1750000.0,14/04/2026,Villa  5 pièces 500 m² Marrakech  « Route D'ourika »
Marrakech,Villa,A Vendre,110.0,1950000.0,05/04/2026,Villa  4 pièces 110 m² Marrakech  « Route D'ourika »
Marrakech,Villa,A Vendre,120.0,2600000.0,05/04/2026,Villa  6 pièces 120 m² Marrakech  « Route D'ourika »
Marrakech,Villa,A Vendre,115.0,1200000.0,24/03/2026,Villa  5 pièces 115 m² Marrakech  « El Afak »
Marrakech,Villa,A Vendre,0.0,4700000.0,08/02/2026,Villa  8 pièces 0 m² Marrakech  « Targa »
Marrakech,Villa,A Vendre,140.0,9800000.0,07/02/2026,Villa  2 pièces 140 m² Marrakech  « Assif »
Tanger,Villa,A Vendre,500.0,6500000.0,06/05/2026,Villa  6 pièces 500 m² Tanger  « Malabata »
Tanger,Villa,A Vendre,500.0,5000000.0,28/04/2026,Villa  7 pièces 500 m² Tanger  « Centre Ville »
Tanger,Villa,A Vendre,300.0,5000000.0,02/04/2026,Villa  7 pièces 300 m² Tanger  « Achakar »
Tanger,Villa,A Vendre,370.0,4950000.0,14/03/2026,Villa  10 pièces 370 m² Tanger  « Tanja Balia »
Tanger,Villa,A Vendre,300.0,4000000.0,14/03/2026,Villa  6 pièces 300 m² Tanger  « Tanja Balia »
Tanger,Villa,A Vendre,450.0,7700000.0,13/03/2026,Villa  8 pièces 450 m² Tanger  « De La Plage »
Tanger,Villa,A Vendre,450.0,8300000.0,05/03/2026,Villa  8 pièces 450 m² Tanger  « Sania »
Tanger,Villa,A Vendre,400.0,7000000.0,05/03/2026,Villa  8 pièces 400 m² Tanger  « Malabata »
Tanger,Villa,A Vendre,330.0,7000000.0,05/03/2026,Villa  5 pièces 330 m² Tanger  « Malabata »
Tanger,Villa,A Vendre,400.0,7500000.0,03/03/2026,Villa meublé 8 pièces 400 m² Tanger  « Du Golf »
